tradingsymbol,name,instrument_type,segment
21STCENMGM,21ST CENTURY MGMT SERVICE,EQ,NSE
AARTIIND,AARTI INDUSTRIES,EQ,NSE
ABB,ABB INDIA,EQ,NSE
GATECHDVR,GACM TECHNOLOGIES,EQ,NSE
STYRENIX,STYRENIX PERFORMANCE,EQ,NSE
ADANIENT,ADANI ENTERPRISES,EQ,NSE
ADOR,ADOR WELDING,EQ,NSE
AEGISLOG,AEGIS LOGISTICS,EQ,NSE
HAPPSTMNDS,HAPPIEST MINDS TECHNO,EQ,NSE
ALEMBICLTD,ALEMBIC,EQ,NSE
ARE&M,AMARA RAJA ENERGY MOB,EQ,NSE
SHAREINDIA,SHARE IND. SECURITIES,EQ,NSE
ROUTE,ROUTE MOBILE,EQ,NSE
ANDHRSUGAR,ANDHRA SUGARS,EQ,NSE
GODREJAGRO,GODREJ AGROVET,EQ,NSE
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,EQ,NSE
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,EQ,NSE
APOLLOTYRE,APOLLO TYRES,EQ,NSE
ANDHRAPAP,ANDHRA PAPER,EQ,NSE
ARENTERP,RAJDARSHAN INDUSTRIES,EQ,NSE
TCPLPACK,TCPL PACKAGING,EQ,NSE
ARVIND,ARVIND,EQ,NSE
MASFIN,MAS FINANCIAL SERV,EQ,NSE
UNIDT,UNITED DRILLING TOOLS,EQ,NSE
ASHAPURMIN,ASHAPURA MINECHEM,EQ,NSE
ASHIMASYN,ASHIMA,EQ,NSE
ASHOKLEY,ASHOK LEYLAND,EQ,NSE
IEX,INDIAN ENERGY EXC,EQ,NSE
ASIANPAINT,ASIAN PAINTS,EQ,NSE
ADL,ARCHIDPLY DECOR,EQ,NSE
NIRAJ,NIRAJ CEMENT STRUC,EQ,NSE
ATUL,ATUL,EQ,NSE
CHEMCON,CHEMCON SPECIAL CHEM,EQ,NSE
AUROPHARMA,AUROBINDO PHARMA,EQ,NSE
GICRE,GENERAL INS CORP OF INDIA,EQ,NSE
AUTOAXLES,AUTOMOTIVE AXLES,EQ,NSE
BAJAJHLDNG,BAJAJ HOLDINGS & INVS,EQ,NSE
BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,EQ,NSE
TIINDIA,TUBE INVEST OF INDIA,EQ,NSE
BAJFINANCE,BAJAJ FINANCE,EQ,NSE
ANGELONE,ANGEL ONE,EQ,NSE
VALIANTORG,VALIANT ORGANICS,EQ,NSE
BALKRISIND,BALKRISHNA IND.,EQ,NSE
BALMLAWRIE,BALMER LAWRIE & CO,EQ,NSE
BALRAMCHIN,BALRAMPUR CHINI MILLS,EQ,NSE
CAMS,COMPUTER AGE MNGT SER,EQ,NSE
BANARBEADS,BANARAS BEADS,EQ,NSE
BANARISUG,BANNARI AMMAN SUGARS,EQ,NSE
ROML,RAJ OIL MILLS,EQ,NSE
BASF,BASF INDIA,EQ,NSE
BATAINDIA,BATA INDIA,EQ,NSE
BBTC,BOMBAY BURMAH TRADING COR,EQ,NSE
SINTERCOM,SINTERCOM INDIA,EQ,NSE
BEL,BHARAT ELECTRONICS,EQ,NSE
MAHLOG,MAHINDRA LOGISTIC,EQ,NSE
GLOBE,GLOBE ENTERPRISE (I),EQ,NSE
BEML,BEML,EQ,NSE
NIACL,THE NEW INDIA ASSU CO,EQ,NSE
BERGEPAINT,BERGER PAINTS (I),EQ,NSE
BEPL,BHANSALI ENG. POLYMERS LT,EQ,NSE
BHARATFORG,BHARAT FORGE,EQ,NSE
KHADIM,KHADIM INDIA,EQ,NSE
BHARATGEAR,BHARAT GEARS,EQ,NSE
IFGLEXPOR,IFGL REFRACTORIES,EQ,NSE
BHEL,BHEL,EQ,NSE
5PAISA,5PAISA CAPITAL,EQ,NSE
